Time;mbcTimestepError;mbcTimestepErrorRelative;mbcError;mbcErrorRelative;mbcErrorCelia;mbcErrorCeliaTimestep;mbcDiffTWC;mbcDiffRelativeTWC;mbcTotalInflow;mbcDiffTWCTimestep;mbcTimestepInflow;
3600.0052;2.3125769e-19;8.4897518e-12;-1.2038566e-17;-4.4195042e-10;1.0199105;1.0198887;6.1667329e-16;2.2638828e-08;6.0463473e-16;1.1858848e-17;1.1627591e-17;
3600.0053;2.3127755e-19;8.490481e-12;-1.2269843e-17;-4.504409e-10;1.0199101;1.0198904;6.2853216e-16;2.3074182e-08;6.1626232e-16;1.1858868e-17;1.1627591e-17;
3600.0054;2.3119154e-19;8.4873232e-12;-1.2501035e-17;-4.5892823e-10;1.0199096;1.019883;6.4039094e-16;2.3509532e-08;6.2788991e-16;1.1858782e-17;1.1627591e-17;
3600.0055;2.312114e-19;8.4880524e-12;-1.2732246e-17;-4.6741628e-10;1.0199091;1.0198847;6.5224975e-16;2.3944883e-08;6.395175e-16;1.1858802e-17;1.1627591e-17;
3600.0056;2.311717e-19;8.4865951e-12;-1.2963418e-17;-4.7590287e-10;1.0199086;1.0198813;6.6410851e-16;2.4380233e-08;6.5114509e-16;1.1858762e-17;1.1627591e-17;
3600.0057;2.3113532e-19;8.4852593e-12;-1.3194553e-17;-4.8438813e-10;1.0199081;1.0198782;6.7596724e-16;2.4815581e-08;6.6277268e-16;1.1858726e-17;1.1627591e-17;
3600.0058;2.3111878e-19;8.4846523e-12;-1.3425672e-17;-4.9287279e-10;1.0199076;1.0198768;6.8782594e-16;2.5250929e-08;6.7440027e-16;1.1858709e-17;1.1627591e-17;
3600.0059;2.3109563e-19;8.4838024e-12;-1.3656768e-17;-5.0135659e-10;1.019907;1.0198748;6.9968463e-16;2.5686275e-08;6.8602786e-16;1.1858686e-17;1.1627591e-17;
3600.006;2.3108571e-19;8.4834384e-12;-1.3887853e-17;-5.0984003e-10;1.0199065;1.0198739;7.1154331e-16;2.6121622e-08;6.9765545e-16;1.1858676e-17;1.1627591e-17;
3600.0061;2.3103278e-19;8.4814953e-12;-1.4118886e-17;-5.1832152e-10;1.0199059;1.0198694;7.2340193e-16;2.6556966e-08;7.0928304e-16;1.1858623e-17;1.1627591e-17;
3600.0062;2.310361e-19;8.4816171e-12;-1.4349922e-17;-5.2680314e-10;1.0199053;1.0198696;7.3526056e-16;2.6992311e-08;7.2091064e-16;1.1858627e-17;1.1627591e-17;
3600.0063;2.3098979e-19;8.4799169e-12;-1.4580912e-17;-5.3528305e-10;1.0199046;1.0198657;7.4711914e-16;2.7427654e-08;7.3253823e-16;1.185858e-17;1.1627591e-17;
3600.0064;2.3096664e-19;8.479067e-12;-1.4811879e-17;-5.4376212e-10;1.019904;1.0198637;7.589777e-16;2.7862996e-08;7.4416582e-16;1.1858557e-17;1.1627591e-17;
3600.0065;2.3096003e-19;8.4788244e-12;-1.5042839e-17;-5.5224095e-10;1.0199034;1.0198631;7.7083625e-16;2.8298338e-08;7.5579341e-16;1.1858551e-17;1.1627591e-17;
3600.0066;2.3091372e-19;8.4771242e-12;-1.5273753e-17;-5.6071807e-10;1.0199027;1.0198591;7.8269475e-16;2.8733678e-08;7.67421e-16;1.1858504e-17;1.1627591e-17;
3600.0067;2.3091704e-19;8.477246e-12;-1.550467e-17;-5.6919531e-10;1.0199021;1.0198594;7.9455326e-16;2.9169018e-08;7.7904859e-16;1.1858508e-17;1.1627591e-17;
3600.0068;2.3088396e-19;8.4760317e-12;-1.5735554e-17;-5.7767135e-10;1.0199014;1.0198566;8.0641173e-16;2.9604357e-08;7.9067618e-16;1.1858474e-17;1.1627591e-17;
3600.0069;2.3085088e-19;8.4748174e-12;-1.5966404e-17;-5.8614616e-10;1.0199007;1.0198537;8.1827017e-16;3.0039695e-08;8.0230377e-16;1.1858441e-17;1.1627591e-17;
3600.007;2.308542e-19;8.4749392e-12;-1.6197259e-17;-5.946211e-10;1.0199;1.019854;8.3012862e-16;3.0475033e-08;8.1393136e-16;1.1858445e-17;1.1627591e-17;
3600.0071;2.3079796e-19;8.4728746e-12;-1.6428057e-17;-6.0309398e-10;1.0198993;1.0198492;8.4198701e-16;3.0910369e-08;8.2555895e-16;1.1858388e-17;1.1627591e-17;
3600.0072;2.3081451e-19;8.4734823e-12;-1.6658871e-17;-6.1156746e-10;1.0198986;1.0198506;8.5384541e-16;3.1345706e-08;8.3718654e-16;1.1858405e-17;1.162759e-17;
3600.0073;2.3077813e-19;8.4721466e-12;-1.6889649e-17;-6.2003961e-10;1.0198979;1.0198475;8.6570378e-16;3.1781041e-08;8.4881413e-16;1.1858369e-17;1.162759e-17;
3600.0074;2.3074174e-19;8.4708108e-12;-1.7120391e-17;-6.2851042e-10;1.0198972;1.0198443;8.7756211e-16;3.2216375e-08;8.6044172e-16;1.1858332e-17;1.162759e-17;
3600.0075;2.3071528e-19;8.4698394e-12;-1.7351106e-17;-6.3698025e-10;1.0198965;1.0198421;8.8942042e-16;3.2651707e-08;8.7206931e-16;1.1858306e-17;1.162759e-17;
3600.0076;2.3072522e-19;8.4702041e-12;-1.7581831e-17;-6.4545046e-10;1.0198958;1.0198429;9.0127873e-16;3.3087041e-08;8.836969e-16;1.1858316e-17;1.162759e-17;
3600.0077;2.3066898e-19;8.4681396e-12;-1.78125e-17;-6.539186e-10;1.019895;1.0198381;9.1313699e-16;3.3522372e-08;8.9532449e-16;1.1858259e-17;1.162759e-17;
3600.0078;2.3066568e-19;8.4680184e-12;-1.8043166e-17;-6.6238662e-10;1.0198943;1.0198378;9.2499525e-16;3.3957703e-08;9.0695208e-16;1.1858256e-17;1.162759e-17;
3600.0079;2.3065245e-19;8.4675329e-12;-1.8273819e-17;-6.7085415e-10;1.0198936;1.0198367;9.3685349e-16;3.4393033e-08;9.1857967e-16;1.1858243e-17;1.162759e-17;
3600.008;2.3061938e-19;8.4663186e-12;-1.8504438e-17;-6.7932047e-10;1.0198928;1.0198338;9.487117e-16;3.4828363e-08;9.3020726e-16;1.185821e-17;1.162759e-17;
3600.0081;2.3061277e-19;8.466076e-12;-1.8735051e-17;-6.8778654e-10;1.0198921;1.0198332;9.6056991e-16;3.5263692e-08;9.4183485e-16;1.1858203e-17;1.162759e-17;
3600.0082;2.3056646e-19;8.4643759e-12;-1.8965617e-17;-6.9625092e-10;1.0198913;1.0198293;9.7242806e-16;3.5699019e-08;9.5346244e-16;1.1858157e-17;1.162759e-17;
3600.0083;2.3056316e-19;8.4642547e-12;-1.919618e-17;-7.0471517e-10;1.0198906;1.019829;9.8428622e-16;3.6134346e-08;9.6509004e-16;1.1858154e-17;1.162759e-17;
3600.0084;2.3054331e-19;8.4635263e-12;-1.9426724e-17;-7.131787e-10;1.0198898;1.0198273;9.9614435e-16;3.6569673e-08;9.7671763e-16;1.1858134e-17;1.162759e-17;
3600.0085;2.3052347e-19;8.4627978e-12;-1.9657247e-17;-7.216415e-10;1.019889;1.0198256;1.0080025e-15;3.7004999e-08;9.8834522e-16;1.1858114e-17;1.162759e-17;
3600.0086;2.3051025e-19;8.4623123e-12;-1.9887757e-17;-7.3010381e-10;1.0198883;1.0198244;1.0198606e-15;3.7440324e-08;9.9997281e-16;1.1858101e-17;1.162759e-17;
3600.0087;2.3047055e-19;8.4608551e-12;-2.0118228e-17;-7.3856466e-10;1.0198875;1.019821;1.0317186e-15;3.7875648e-08;1.0116004e-15;1.1858061e-17;1.162759e-17;
3600.0088;2.3046725e-19;8.460734e-12;-2.0348695e-17;-7.470254e-10;1.0198868;1.0198207;1.0435767e-15;3.8310972e-08;1.023228e-15;1.1858058e-17;1.162759e-17;
3600.0089;2.3043748e-19;8.4596411e-12;-2.0579133e-17;-7.5548504e-10;1.019886;1.0198182;1.0554347e-15;3.8746294e-08;1.0348556e-15;1.1858028e-17;1.162759e-17;
3600.009;2.3042757e-19;8.4592771e-12;-2.080956e-17;-7.6394431e-10;1.0198852;1.0198173;1.0672927e-15;3.9181617e-08;1.0464832e-15;1.1858018e-17;1.162759e-17;
3600.0091;2.3040111e-19;8.4583057e-12;-2.1039961e-17;-7.7240262e-10;1.0198845;1.019815;1.0791507e-15;3.9616938e-08;1.0581108e-15;1.1857991e-17;1.162759e-17;
3600.0092;2.3038788e-19;8.4578202e-12;-2.1270349e-17;-7.8086044e-10;1.0198837;1.0198139;1.0910087e-15;4.0052259e-08;1.0697383e-15;1.1857978e-17;1.162759e-17;
3600.0093;2.3037135e-19;8.4572132e-12;-2.1500721e-17;-7.8931765e-10;1.0198829;1.0198125;1.1028667e-15;4.0487579e-08;1.0813659e-15;1.1857962e-17;1.162759e-17;
3600.0094;2.3034158e-19;8.4561203e-12;-2.1731062e-17;-7.9777377e-10;1.0198822;1.0198099;1.1147246e-15;4.0922898e-08;1.0929935e-15;1.1857932e-17;1.162759e-17;
3600.0095;2.3032504e-19;8.4555134e-12;-2.1961387e-17;-8.0622929e-10;1.0198814;1.0198085;1.1265825e-15;4.1358217e-08;1.1046211e-15;1.1857915e-17;1.162759e-17;
3600.0096;2.3031513e-19;8.4551493e-12;-2.2191702e-17;-8.1468443e-10;1.0198806;1.0198076;1.1384404e-15;4.1793535e-08;1.1162487e-15;1.1857905e-17;1.162759e-17;
3600.0097;2.3029198e-19;8.4542994e-12;-2.2421994e-17;-8.2313873e-10;1.0198798;1.0198056;1.1502983e-15;4.2228852e-08;1.1278763e-15;1.1857882e-17;1.162759e-17;
3600.0098;2.3026882e-19;8.4534495e-12;-2.2652263e-17;-8.3159218e-10;1.0198791;1.0198037;1.1621562e-15;4.2664169e-08;1.1395039e-15;1.1857859e-17;1.162759e-17;
3600.0099;2.3024567e-19;8.4525996e-12;-2.2882509e-17;-8.4004478e-10;1.0198783;1.0198017;1.174014e-15;4.3099484e-08;1.1511315e-15;1.1857836e-17;1.162759e-17;
3600.01;2.3024237e-19;8.4524785e-12;-2.3112751e-17;-8.4849726e-10;1.0198775;1.0198014;1.1858718e-15;4.35348e-08;1.1627591e-15;1.1857833e-17;1.162759e-17;
3600.0101;2.3019606e-19;8.4507783e-12;-2.3342947e-17;-8.5694804e-10;1.0198767;1.0197974;1.1977296e-15;4.3970114e-08;1.1743867e-15;1.1857786e-17;1.162759e-17;
3600.0102;2.3021261e-19;8.451386e-12;-2.357316e-17;-8.6539942e-10;1.0198759;1.0197988;1.2095874e-15;4.4405428e-08;1.1860143e-15;1.1857803e-17;1.162759e-17;
3600.0103;2.3016961e-19;8.4498072e-12;-2.3803329e-17;-8.7384923e-10;1.0198752;1.0197951;1.2214452e-15;4.4840741e-08;1.1976418e-15;1.185776e-17;1.162759e-17;
3600.0104;2.3016962e-19;8.4498076e-12;-2.4033499e-17;-8.8229904e-10;1.0198744;1.0197951;1.2333029e-15;4.5276054e-08;1.2092694e-15;1.185776e-17;1.162759e-17;
3600.0105;2.3014978e-19;8.4490792e-12;-2.4263649e-17;-8.9074812e-10;1.0198736;1.0197934;1.2451607e-15;4.5711366e-08;1.220897e-15;1.185774e-17;1.162759e-17;
3600.0106;2.301167e-19;8.4478648e-12;-2.4493765e-17;-8.9919598e-10;1.0198728;1.0197906;1.2570184e-15;4.6146676e-08;1.2325246e-15;1.1857707e-17;1.162759e-17;
